state_fips,state_abb,state_name,year,n_obs,n_weighted,n_immigrants,immigrant_share,mean_earn,mean_ln_earn,median_earn,share_college,share_female,mean_age
13,GA,Georgia,2000,177,720600.69,19210.38,0.026658842083540055,643.8502946895597,6.257008058382506,540,0.3090582247430266,0.5024276066124778,39.09893964991902
13,GA,Georgia,2010,244,549864.91,55235.39,0.10045265481661668,896.6986587487461,6.548490853743945,640,0.36804876310437773,0.5138588130673768,43.48558043101895
13,GA,Georgia,2020,227,638795.8424,132725.1497,0.2077739723560856,1013.4506759198971,6.725924821805575,826,0.40594124865581627,0.4864030278165756,44.788877736596874
15,HI,Hawaii,2000,102,104902.12,28665.41,0.2732586338579239,684.4095912456297,6.372569792884479,600,0.354873571668523,0.49627119070615544,43.154726043668134
15,HI,Hawaii,2010,168,69240.31,23948,0.345867891117183,861.3616296634143,6.557166366893231,764.5,0.3949059442397066,0.5020692426131541,43.64610831465082
15,HI,Hawaii,2020,116,66171.6097,15088.6859,0.2280235582662575,1249.5972724659289,6.970710172171547,1028.5,0.49127934090441205,0.5450495441098511,43.942009509555575
16,ID,Idaho,2000,149,94409.42,4892.02,0.051817075033402396,614.1336542476377,6.192246375783679,560,0.31535401869855784,0.49343095212320975,42.104309612324705
16,ID,Idaho,2010,108,79510.7,8275.56,0.1040810859418921,812.4971849071886,6.398895489574919,598,0.2799891083841546,0.48516677629551747,45.080403140709365
16,ID,Idaho,2020,188,133972.1611,11160.7349,0.08330637356569447,954.2779713546025,6.64022379931355,855,0.3477660225636235,0.4884052445131454,43.81141268907992
17,IL,Illinois,2000,482,1032995.9400000001,128031.43000000001,0.12394185208511081,726.4545232288134,6.374406580786442,600,0.3387073815604735,0.4663794128755239,40.820835878599866
17,IL,Illinois,2010,346,750903.87,123908.97,0.16501309282105578,915.5699922414835,6.611058848887393,769,0.39623756367109947,0.510486249058751,44.301845627723296
17,IL,Illinois,2020,251,845275.3956,218484.1574,0.25847689230906085,1240.3590647061062,6.904822268436294,1015,0.5011826156365174,0.4923082933280165,43.654466883313596
18,IN,Indiana,2000,157,573075.79,26463.16,0.04617741747561871,659.7374691748887,6.2751682301568605,554,0.31376968480905465,0.49205549234596,42.28132511059314
18,IN,Indiana,2010,184,399672.16,31564.55,0.07897610381468652,827.0768339481039,6.541876756233078,741.5,0.3235856107665843,0.46019114766462593,45.32144523151175
18,IN,Indiana,2020,167,508935.1652,28551.0423,0.05609956680588202,1011.7060156591042,6.796264182464318,942,0.41566975120861627,0.4828750455933321,45.07412796929679
