year,serial,pernum,asec_flag,weight,state_fips,age,sex,nativity,empstat,educ,hrs_work,earn_week,immigrant,employed,female,educ_cat,state_abb,state_name,ln_earn,earn_extreme
2000,511,2,1,1080.37,23,39,2,3,10,81,40,320,0,1,1,some_college,ME,Maine,5.768320995793772,0
2000,570,1,1,1055.7,23,45,1,1,10,73,40,550,0,1,0,hs,ME,Maine,6.309918278226516,0
2000,570,2,1,1055.7,23,44,2,1,10,91,40,464,0,1,1,some_college,ME,Maine,6.139884552226255,0
2000,577,1,1,884.91,23,32,1,2,10,60,60,750,0,1,0,less_hs,ME,Maine,6.620073206530356,0
2000,580,1,1,905.53,23,50,2,1,10,111,40,769,0,1,1,college_plus,ME,Maine,6.645090969505644,0
2000,613,1,1,1003.85,23,50,1,1,10,111,50,2019,0,1,0,college_plus,ME,Maine,7.610357618312838,0
2000,613,2,1,1003.85,23,51,2,1,10,111,35,857,0,1,1,college_plus,ME,Maine,6.75343791859778,0
2000,616,1,1,1190.53,23,25,2,1,10,81,40,480,0,1,1,some_college,ME,Maine,6.173786103901937,0
2000,616,2,1,1190.53,23,28,1,3,10,111,NA,500,0,1,0,college_plus,ME,Maine,6.214608098422191,0
2000,617,1,1,1130.47,23,29,1,1,10,73,NA,625,0,1,0,hs,ME,Maine,6.437751649736401,0
2000,617,2,1,1130.47,23,30,2,1,10,73,NA,282,0,1,1,hs,ME,Maine,5.641907070938114,0
2000,654,1,1,979.04,23,54,1,1,10,73,44,366,0,1,0,hs,ME,Maine,5.902633333401366,0
2000,654,2,1,979.04,23,53,2,1,10,91,NA,615,0,1,1,some_college,ME,Maine,6.421622267806518,0
2000,664,1,1,1055.7,23,45,1,1,10,123,40,423,0,1,0,college_plus,ME,Maine,6.0473721790462776,0
2000,681,1,1,1054.98,23,47,1,1,10,91,NA,1250,0,1,0,some_college,ME,Maine,7.1308988302963465,0
2000,685,1,1,1112.92,23,52,1,1,10,73,40,1115,0,1,0,hs,ME,Maine,7.016609683894219,0
2000,710,1,1,1080.46,23,45,1,1,10,81,40,346,0,1,0,some_college,ME,Maine,5.846438775057725,0
2000,710,2,1,1080.46,23,46,2,1,10,73,32,160,0,1,1,hs,ME,Maine,5.075173815233827,0
2000,713,1,1,939.33,23,53,1,1,10,91,40,600,0,1,0,some_college,ME,Maine,6.396929655216146,0
2000,713,2,1,939.33,23,49,2,1,10,111,35,1050,0,1,1,college_plus,ME,Maine,6.956545443151569,0
2000,718,2,1,951.85,23,35,2,1,10,81,40,319,0,1,1,some_college,ME,Maine,5.765191102784844,0
2000,718,3,1,951.85,23,38,1,1,10,81,NA,234,0,1,0,some_college,ME,Maine,5.455321115357702,0
2000,731,1,1,1034.61,23,44,1,1,10,81,55,586,0,1,0,some_college,ME,Maine,6.373319789577012,0
2000,740,1,1,979.04,23,54,1,5,10,73,50,585,1,1,0,hs,ME,Maine,6.371611847231857,0
2000,740,2,1,979.04,23,53,2,1,10,73,40,360,0,1,1,hs,ME,Maine,5.886104031450156,0
2000,763,2,1,863.76,23,58,2,1,10,73,12,75,0,1,1,hs,ME,Maine,4.31748811353631,0
2000,765,1,1,905.53,23,52,1,1,10,73,40,1000,0,1,0,hs,ME,Maine,6.907755278982137,0
2000,765,2,1,905.53,23,51,2,1,10,91,40,224,0,1,1,some_college,ME,Maine,5.4116460518550396,0
2000,772,2,1,1112.92,23,41,2,1,10,111,40,450,0,1,1,college_plus,ME,Maine,6.1092475827643655,0
2000,781,1,1,951.85,23,38,1,1,10,73,40,600,0,1,0,hs,ME,Maine,6.396929655216146,0
2000,783,2,1,863.76,23,56,2,1,10,81,40,480,0,1,1,some_college,ME,Maine,6.173786103901937,0
2000,793,1,1,1053.73,23,29,1,1,10,111,40,360,0,1,0,college_plus,ME,Maine,5.886104031450156,0
2000,793,2,1,1053.73,23,28,2,1,10,111,50,462,0,1,1,college_plus,ME,Maine,6.135564891081739,0
2000,807,3,1,723.85,33,35,2,1,10,92,28,232,0,1,1,some_college,NH,New Hampshire,5.44673737166631,0
2000,812,1,1,1073.03,33,48,2,1,10,92,36,810,0,1,1,some_college,NH,New Hampshire,6.697034247666484,0
2000,817,1,1,741.02,33,40,1,1,10,111,40,600,0,1,0,college_plus,NH,New Hampshire,6.396929655216146,0
2000,817,2,1,741.02,33,36,2,1,10,123,9,100,0,1,1,college_plus,NH,New Hampshire,4.605170185988092,0
2000,820,1,1,723.31,33,31,2,5,10,92,40,386,1,1,1,some_college,NH,New Hampshire,5.955837369464831,0
2000,836,1,1,821.86,33,45,1,1,10,73,55,2212,0,1,0,hs,NH,New Hampshire,7.701652362642226,0
